sentence,target
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,"[{""target"":""Bank BPH"",""aspect"":""Stock"",""sentiment"":0.213},{""target"":""GE"",""aspect"":""Stock"",""sentiment"":0.211}]"
Tata Steel working with StanChart for UK unit sale - source,"[{""target"":""StanChart"",""aspect"":""Stock"",""sentiment"":0.218},{""target"":""Tata Steel"",""aspect"":""Corporate"",""sentiment"":0.143}]"
Crown Castle buys Tower Development Corp for $461 million,"[{""target"":""Tower Development"",""aspect"":""Corporate"",""sentiment"":0.366}]"
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,"[{""target"":""Lazada"",""aspect"":""Stock"",""sentiment"":-0.038},{""target"":""Tesco"",""aspect"":""Stock"",""sentiment"":0.365}]"
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure","[{""target"":""CaixaBank"",""aspect"":""Corporate"",""sentiment"":0.244}]"
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure","[{""target"":""CaixaBank"",""aspect"":""Corporate"",""sentiment"":0.243}]"
Spain's Caixabank launches new takeover bid for Banco BPI,"[{""target"":""Caixabank"",""aspect"":""Corporate"",""sentiment"":0.185}]"
"Despite sales growth, UK's Tesco cautions recovery to be bumpy","[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":-0.077}]"
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,"[{""target"":""ITV"",""aspect"":""Corporate"",""sentiment"":0.199}]"
Shire Sees Baxalta Deal Closing as Expected After New Rules,"[{""target"":""Shire"",""aspect"":""Corporate"",""sentiment"":0.224}]"
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong","[{""target"":""OCBC"",""aspect"":""Corporate"",""sentiment"":0.257}]"
Tesco share price steady as analysts weigh in on results,"[{""target"":""Tesco"",""aspect"":""Stock"",""sentiment"":0.052}]"
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,"[{""target"":""Lloyds"",""aspect"":""Stock"",""sentiment"":0.292}]"
Should You Follow Berkshire Hathaway Into Apple Stock?,"[{""target"":""Berkshire Hathaway"",""aspect"":""Corporate"",""sentiment"":0.0}]"
Morrisons book second consecutive quarter of sales growth,"[{""target"":""Morrisons"",""aspect"":""Corporate"",""sentiment"":0.43}]"
Royal Mail gets mixed bag from Ofcom postal regulation report,"[{""target"":""Royal Mail"",""aspect"":""Corporate"",""sentiment"":-0.084}]"
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,"[{""target"":""Barclays"",""aspect"":""Stock"",""sentiment"":-0.34}]"
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal","[{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":0.392}]"
Retail giant Kingfisher reports 'solid' start to the year,"[{""target"":""Kingfisher"",""aspect"":""Corporate"",""sentiment"":0.368}]"
"Berkshire discloses unit's ties to Iran, opens probe","[{""target"":""Berkshire"",""aspect"":""Corporate"",""sentiment"":-0.288}]"
Berkshire Hathaway names Kara Raiguel to lead General Re unit,"[{""target"":""Berkshire"",""aspect"":""Corporate"",""sentiment"":0.077}]"
"European stocks hover near 3-week low, Dialog and BHP slump","[{""target"":""Dialog"",""aspect"":""Stock"",""sentiment"":-0.584}]"
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,"[{""target"":""Hargreaves Lansdown"",""aspect"":""Market"",""sentiment"":0.571}]"
Australia clears AB Inbev's $100 billion SABMiller buyout plan,"[{""target"":""AB InBrev"",""aspect"":""Corporate"",""sentiment"":0.437}]"
Goodwin not to face Scottish prosecution over RBS,"[{""target"":""RBS"",""aspect"":""Corporate"",""sentiment"":0.114}]"
Royal Mail turnaround proving expensive in tough UK market,"[{""target"":""Royal Mail"",""aspect"":""Market"",""sentiment"":-0.057}]"
Whitbread buys 49% stake in Pure food chain,"[{""target"":""Whitbread"",""aspect"":""Corporate"",""sentiment"":0.365}]"
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears","[{""target"":""Standard Chartered"",""aspect"":""Corporate"",""sentiment"":0.128}]"
Royal Mail share price rallies amid positive broker comments,"[{""target"":""Royal Mail"",""aspect"":""Stock"",""sentiment"":0.59}]"
InterContinental Hotels first-quarter global room revenue lags estimates,"[{""target"":""InterContinental"",""aspect"":""Corporate"",""sentiment"":-0.329}]"
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,"[{""target"":""AstraZeneca"",""aspect"":""Corporate"",""sentiment"":0.395}]"
London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,"[{""target"":""London Stock Exchange"",""aspect"":""Corporate"",""sentiment"":-0.421}]"
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,"[{""target"":""Home Retail"",""aspect"":""Corporate"",""sentiment"":0.0},{""target"":""Sainsbury"",""aspect"":""Corporate"",""sentiment"":0.0}]"
BP joins forces with Det Norske in Norway,"[{""target"":""Det Norske"",""aspect"":""Corporate"",""sentiment"":0.248}]"
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,"[{""target"":""Legal & General"",""aspect"":""Corporate"",""sentiment"":0.252}]"
Johnson Matthey revs up on clean air drive,"[{""target"":""Johnson Matthey"",""aspect"":""Corporate"",""sentiment"":0.224}]"
"Goldman Sachs, Barclays, HSBC downplay Brexit threat","[{""target"":""Barclays"",""aspect"":""Corporate"",""sentiment"":0.0},{""target"":""Goldman Sachs"",""aspect"":""Corporate"",""sentiment"":-0.147},{""target"":""HSBC"",""aspect"":""Corporate"",""sentiment"":-0.14}]"
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,"[{""target"":""Asahi"",""aspect"":""Corporate"",""sentiment"":0.207},{""target"":""SABMiller"",""aspect"":""Corporate"",""sentiment"":0.329}]"
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,"[{""target"":""Deutsche B\u00c3\u00b6rse"",""aspect"":""Corporate"",""sentiment"":-0.473},{""target"":""LSE"",""aspect"":""Corporate"",""sentiment"":-0.415}]"
Tesco sales recover as focus returns to core business,"[{""target"":""Tesco"",""aspect"":""Corporate"",""sentiment"":0.35}]"
Johnson Matthey profit falls but dividend rises,"[{""target"":""Johnson Matthey"",""aspect"":""Corporate"",""sentiment"":0.0}]"
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?","[{""target"":""ASOS plc"",""aspect"":""Corporate"",""sentiment"":0.0},{""target"":""Domino's Pizza Group plc"",""aspect"":""Corporate"",""sentiment"":0.063}]"
Priceline's stock jumps to new high for the year after Barclays upgrade,"[{""target"":""Priceline"",""aspect"":""Stock"",""sentiment"":0.847}]"
"Tesco set to sell Kipa, Giraffe businesses - Sky News","[{""target"":""Kipa"",""aspect"":""Stock"",""sentiment"":-0.192},{""target"":""Tesco"",""aspect"":""Stock"",""sentiment"":0.23}]"
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,"[{""target"":""Coca-Cola Companp"",""aspect"":""Corporate"",""sentiment"":0.259},{""target"":""Coca-Cola FEMSA"",""aspect"":""Corporate"",""sentiment"":0.293}]"
HSBC Says Unit to Book $585 Million Charge on Settlement,"[{""target"":""HSBC"",""aspect"":""Corporate"",""sentiment"":-0.434}]"
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts","[{""target"":""JV Partner"",""aspect"":""Corporate"",""sentiment"":0.427}]"
Aviva promises higher dividends to boost flagging share price,"[{""target"":""Aviva"",""aspect"":""Corporate"",""sentiment"":0.281}]"
CompaniesFresnillo shares jump 8% as silver price breaks $21,"[{""target"":""Fresnillo"",""aspect"":""Stock"",""sentiment"":0.874}]"
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?","[{""target"":""Dunelm Group plc"",""aspect"":""Corporate"",""sentiment"":0.14},{""target"":""Great Portland Estates plc"",""aspect"":""Corporate"",""sentiment"":0.165}]"
Berkshire seeks to boost its Wells Fargo stake above 10 percent,"[{""target"":""Wells Fargo"",""aspect"":""Stock"",""sentiment"":0.429}]"
Tesco share price tumbles after negative broker note,"[{""target"":""Tesco"",""aspect"":""Stock"",""sentiment"":-0.779}]"
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,"[{""target"":""London Stock Exchange"",""aspect"":""Corporate"",""sentiment"":0.406}]"
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,"[{""target"":""Wells Fargo"",""aspect"":""Stock"",""sentiment"":0.432}]"
Berkshire applies to boost Wells Fargo stake above 10 percent,"[{""target"":""Wells Fargo"",""aspect"":""Stock"",""sentiment"":0.484}]"
"Aviva, M&G suspend property funds as investors panic","[{""target"":""M&G"",""aspect"":""Corporate"",""sentiment"":-0.807}]"
"UK housing market steadies after Brexit dip, Persimmon says","[{""target"":""Perssimon"",""aspect"":""Market"",""sentiment"":0.339}]"
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,"[{""target"":""Aviva"",""aspect"":""Corporate"",""sentiment"":0.439}]"
Builder Persimmon hails 6% rise in house sales,"[{""target"":""Persimmon"",""aspect"":""Corporate"",""sentiment"":0.435}]"
EasyJet attracts more passengers in June but still lags Ryanair,"[{""target"":""Ryanair"",""aspect"":""Corporate"",""sentiment"":0.259}]"
